Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000525864000011,10.1016/j.culher.2019.09.005,n/a,Moisture regime of historical sandstone masonry - A numerical study,"Vogel, Tomas; Dusek, Jaromir; Dohnal, Michal; Snehota, Michal",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,42,n/a,99-107,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000525864000011,15.888889,3.668192148208618,3.0760667,0.94,4.0892,4.8764,Domestic - Single,94.3707,2.955
WOS:000654054700001,10.1080/00393630.2021.1892430,n/a,Moisture Interactions Between Mosses and Their Underlying Stone Substrates,"Jang, Katherine; Viles, Heather",STUDIES IN CONSERVATION,1301 Art Theory; 0601 Archaeology; 0703 Chemistry,Article,67,8,532-544,2021,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000654054700001,3.47619,2.7879981994628906,2.4669812,4.32,5.3802,6.0803,Domestic - Single,95.7512,0.847
WOS:000545314900013,10.1016/j.culher.2020.01.002,n/a,"Machine learning for rapid mapping of archaeological structures made of dry stones - Example of burial monuments from the Khirgisuur culture, Mongolia -","Monna, Fabrice; Magail, Jerome; Rolland, Tanguy; Navarro, Nicolas; Wilczek, Josef; Gantulga, Jamiyan-Ombo; Esin, Yury; Granjon, Ludovic; Allard, Anne-Caroline; Chateau-Smith, Carmela",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,43,n/a,118-128,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000545314900013,15.888889,3.668192148208618,9.916667,0.94,4.0892,1.5126,International - Quadrilateral +,94.3707,2.955
WOS:000584607800011,10.1016/j.culher.2020.03.007,n/a,"Lighting and visual experience of artworks: Results of a study campaign at the National Museum of San Matteo in Pisa, Italy","Leccese, Francesco; Salvadori, Giacomo; Maccheroni, Dario; Feltrin, Francesca",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,45,n/a,254-264,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000584607800011,15.888889,3.668192148208618,7.6363635,0.94,4.0892,1.9643,International - Trilateral,94.3707,2.955
WOS:000545314900004,10.1016/j.culher.2019.10.009,n/a,Insect pests of the Herbarium of the Palermo botanical garden and evaluation of semiochemicals for the control of the key pest Lasioderma serricorne F. (Coleoptera: Anobiidae),"Guarino, Salvatore; Basile, Sara; Caimi, Marco; Carratello, Alfredo; Manachini, Barbara; Peri, Ezio",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,43,n/a,37-44,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000545314900004,15.888889,3.668192148208618,7.131805,0.94,4.0892,2.1033,Domestic - Multiple,94.3707,2.955
WOS:000756017600013,10.1016/j.culher.2020.10.006,n/a,Influence of particle size distribution of pigments on depth profiling of murals using laser-induced breakdown spectroscopy,"Yin, Yaopeng; Sun, Duixiong; Yu, Zongren; Su, Maogen; Shan, Zhongwei; Su, Bomin; Dong, Chenzhong",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,47,n/a,109-116,2021,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000756017600013,12.589928,2.7879981994628906,5.8033333,1.19,5.3802,2.5847,Domestic - Multiple,95.7512,3.229
WOS:000821332400007,10.1016/j.culher.2022.03.014,n/a,Impact of nanosilica on lime restoration mortars properties,"Diaz, Jose; Sevcik, Radek; Macova, Petra; Menendez, Beatriz; Frankeova, Dita; Slizkova, Zuzana",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,55,n/a,210-220,2022,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000821332400007,9.037037,1.7202558517456055,3.5050504,1.66,8.7196,4.2795,International - Bilateral,97.3987,3.1
WOS:000695638600010,10.1037/aca0000280,n/a,Impact of Contextualizing Information on Aesthetic Experience and Psychophysiological Responses to Art in a Museum: A Naturalistic Randomized Controlled Trial,"Krauss, Luisa; Ott, Celine; Opwis, Klaus; Meyer, Andrea; Gaab, Jens",PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1301 Art Theory; 0402 Psychology,Article,15,3,505-516,2021,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000695638600010,12.959016,2.7879981994628906,6.93617,1.16,5.3802,2.1626,International - Bilateral,95.7512,6.395
WOS:001047452800001,10.1016/j.culher.2023.06.024,n/a,Fire risk level prediction of timber heritage buildings based on entropy and XGBoost,"Lei, Yating; Shen, Zhanfeng; Tian, Fengshi; Yang, Xinwei; Wang, Futao; Pan, Rui; Wang, Haoyu; Jiao, Shuhui; Kou, Wenqi",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,63,n/a,11-22,2023,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001047452800001,4.780347,1.137982964515686,2.4375,3.14,13.1812,6.1538,Domestic - Multiple,99.0968,3.5
WOS:000584553600003,10.1016/j.culher.2020.04.002,n/a,Evidence for the catalytic properties of ultramarine pigment,"Schnetz, Kokkie; Gambardella, Alessa A.; van Elsas, Roel; Rosier, Joost; Steenwinkel, Edgar E.; Wallert, Arie; Iedema, Pieter D.; Keune, Katrien",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,45,n/a,25-32,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000584553600003,15.888889,3.668192148208618,7.0582523,0.94,4.0892,2.1252,International - Bilateral,94.3707,2.955
